district_number,country_codes,clubs,members,coverage,highlights
2981,in,65,286,,
2982,in,47,756,"Salem, Hosur, Krishnagiri, Dharmapuri, Villupuram, Kallankuruchi, Namakkal",Cover 7 Revenue District
3000,in,147,"5,589","Madurai,Dindigul, Trichy, Theni, Karur, Prembalur and Pudukkottai.",Cultural Diversity locations
3011,in,70,"1,267","NCT of Delhi, the revenue Districts of Faridabad, Gurugram, Rohtak, Rewari","District 3011 is celebrated for its dynamic leadership, vibrant community, and commitment to professional development. The district is known for its strong emphasis on ethical conduct, innovative programs, and fostering a spirit of fellowship and service among its diverse membership. It consistently sets a high standard in the Rotaract movement."
3012,in,53,430,Delhi NCR,6 Community Service Projects
3020,in,44,707,"Ichapuram, Srikakulam, Vizianagaram,Visakhapatnam,East godavari, West godavari, Krishna","The proud history of 54 years, with a total of 46clubs. Tourist attractions include the Vizianagaram Fort, a historical gem, Sri Varahalakshmi Narasimha Swamy, Rushikonda Beach, a picturesque beach in Vishakapatnam, the tranquil beauty of Araku Valley, and the bustling Kakinada Port. There are also spiritual sites such as the Annavaram Temple and TTD Temple, as well as cultural landmarks like the Kanakadurga Temple and Gundala Church. Other destinations worth visiting are Kakinada Beach, Lambasingi, and Yanam. The city offers a blend of traditional heritage and gastronomic delights for visitors to enjoy."
3030,in,83,"1,084",North & West Maharashtra,North & West Maharashtra
3040,in,41,575,Madhya Pradesh and Eastern Gujrat,Mahankaleshwar and Omkareshvar Jyotirling
3053,in,23,336,,
3055,in,53,698,Gujarat & Some parts of Rajasthan,"Ahmedabad, Gandhinagar, Kutch, North Gujarat, Sanchor, Jalore, Jaisalmer, Badmer"
3056,in,23,220,"INDIA, part of Rajasthan revenue districts including Banswara, Bhilwara, Bundi, Chittorgarh, Dausa, Dungarpur, Jaipur, Jhalawar, Karauli, Kota, Pali, Pratapgarh, Rajsamand, Sawaimadhopur, Sikar, Tonk, Udaipur",Chartered RIY 2023-24
3060,in,51,"1,410","Jamnagar, Rajkot, Porbandar, Junagadh, Gir Somnath, Devbhoomi Dwarka, Morbi, Surendranagar, Anand-Nadiad, Vadodara, Surat, Bharuch, Valsad, Dhule, Dondaicha, Nandurbar, Shindkheda, UT of Diu, Daman & Dadra Nagar Haveli","Our District is one of the oldest Rotaract District. Our District has given two leaders to Rotary, Past Rotary International President Kalyan Banerjee and Past Rotary International Director Dr Manoj Desai."
3070,in,34,342,"Himachal Pradesh , Punjab , Jammu & Kashmir , Leh/Ladakh",It's rich heritage and culture
3080,in,82,"2,239","Chandigarh, Nahan, Paonta sahib, Dehradun, Rishikesh, Mussorie, Haridwar, Anandpur Sahib, Mohali, Panchkula, Baddi, Pinjore, Shimla, Solan, Kurukshetra, Ambala, Panipat, Ladwa, Yamunanagar, Saharanpur, Roorkee","Largest Geographical area in RI District with many adventure sports location including Bungee jumping, rafting, paragliding etc. 

Famous tourist spots like Chandigarh, Shimla, Mussorie, Rishikesh, Kurukshetra"
3090,in,32,407,"Punjab , Haryana, Rajasthan",
3100,in,28,288,Education,
3110,in,22,185,Kanpur to Kedarnath,
3120,in,49,758,Eastern Uttar Pradesh & Vindhya Region of Madhya Pradesh,"Kashi Vishvnath Mandir, Gorakhnath Mandir, Ram Janmbhumi, Sangam Ghat, Vindhyachal Devi, Geeta Press, Imambada, Dudhwa National Park, Ganga Arti, Khajuraho Temple etc"
3131,in,100,"2,144","Pune, Panvel, Raigad","Rotaract District 3131 is a dynamic and impactful non-profit organization dedicated to creating positive change in the world, working in close collaboration with Rotary International District 3131 (RID 3131). Functioning directly under the guidance of Rotary International, Rotaract District 3131 empowers young leaders to make a significant difference in their communities and beyond.

Formation and Scope : Rotaract District 3131 was established at the start of Rotary International Year 2008-09, following the bifurcation of RID 3130. It encompasses the Raigad and Pune revenue districts of Maharashtra, India. Membership and Reach it is comprised of over 100 Rotaract clubs.It has a vibrant network of 2300+ Rotaractors.Rotaractors are individuals aged 18 and above, fostering a diverse and inclusive community of young leaders.

Rotaractors belong to an age group of above 18 years (no age limit) and primarily work in the standing committees of Professional Development, Club Service, International Services, Community Service, Foundation, and Finance Services. Presently, there are 80+ Rotaract clubs functioning cooperatively in RID 3131."
3132,in,36,511,"Chht. Sambhajinagar, Jalna, Kopergaon, Nanded, Solapur, Latur, Satara, Beed, Akluj, Temburni, Ahilyanagar, Karad, Makhapur, Mahabaleshwar, Panchgani,Wai etc","Key Highlights:

Digital Classrooms for Rural Education: Over 100 schools equipped with e-learning facilities, bridging gaps in access to quality education.

Water and Sanitation Initiatives: Rotary’s large-scale rainwater harvesting and sanitation drives continue to improve village infrastructure and community health.

Sustainable Livelihoods: Joint Rotary–Rotaract projects supporting women entrepreneurs and youth skill development.

Global Partnerships: Active participation in Global Grants, Youth Exchange, and international collaborations like Reach Out to Africa.

Leadership and Learning Platforms: Annual leadership events like DTLS, PELS/SELS, and DRR Training Workshops empower leaders across all levels.

Rotaract Synergy:

Under this year's DRR’s leadership, Rotaract District 3132 has become a powerhouse of creativity and collaboration.

Initiatives such as “Satyam Vikasah Chronicles” and the 365-Day Rotaract Content Drive are strengthening district communication and identity.

Signature youth-driven events like Rota Trek 2.0, Drishti – Building Image, Building Youth, and Rotary–Rotaract Meets are uniting members through purpose and passion.

The Rotary Foundation (TRF) Drive: Joint Rotary–Rotaract efforts have amplified awareness and contributions toward global causes, making “Service Above Self” a shared mission.

Together, Rotary and Rotaract of District 3132 embody the spirit of Integrity. Unity. Progress. — transforming vision into action and teamwork into lasting impact."
3141,in,124,"1,942",Mumbai and Palghar,
3142,in,57,"1,095","Navi Mumbai, Thane, Dombivli, Kalyan, Ulhasnagar, Ambarnath, Badlapur","Known as one of the Vibrant districts for their initiatives like RED, RISE"
3150,in,53,"2,013","Telangana State, Guntur District and Prakasham District",
3160,in,34,204,Andhra Pradesh & Karnataka,
3170,in,108,"1,265","South Maharashtra, North Karnataka and Goa",
3181,in,57,856,"Chamrajnagar,Dakshina Kannada, Kodagu & Mysuru","Rotaract District 3181, spanning Chamrajnagar, Dakshina Kannada, Kodagu, and Mysuru, embodies the theme ""Explore Limitless."" Committed to the Rotaract motto of ""Self Development and  Fellowship through Service,"" it excels in diverse community service projects that address critical needs. The district fosters personal and professional growth among its members, emphasizing leadership development. Through international collaborations and annual events, it expands its reach and impact. Scholarships may be offered to support education, furthering its commitment to youth empowerment. Rotaract District 3181 is a dynamic force for positive change, driven by the limitless potential of its members and the communities it serves."
