district,club_id,club_name,club_base,members,country
64,91466,"Aabahanikunja, Dhaka",Community,1,Bangladesh
64,8823642,Abani Bluez,Community,8,Bangladesh
64,52680,Abhayanagar,Community,3,Bangladesh
64,9521,Agri-Varsity,University,2,Bangladesh
64,76584,Approach Rajshahi,Community,6,Bangladesh
64,9517,Bagerhat,Community,1,Bangladesh
64,43235,Bagerhat Central,Community,1,Bangladesh
64,91778,Banashree Dhaka,University,3,Bangladesh
64,83295,Barisal Midtown,Community,1,Bangladesh
64,212568,Barisal University,University,5,Bangladesh
64,92167,Basundhara Dhaka,Community,2,Bangladesh
64,212567,"Begum Rokeya University, Rangpur",University,5,Bangladesh
64,213216,Bhawal Green,Community,7,Bangladesh
64,215331,BL College Khulna,University,3,Bangladesh
64,53615,Bogra Newtown,Community,5,Bangladesh
64,218368,"Cantonment College, Jashore (CCJ)",University,4,Bangladesh
64,9487,Cosmopolitan Khulna,Community,3,Bangladesh
64,8824452,Cosmopolitan Khulna Rising,University,6,Bangladesh
64,212535,Daffodil International University,University,6,Bangladesh
64,9485,Daulatpur,Community,3,Bangladesh
64,9483,Dhaka,Community,3,Bangladesh
64,8825013,Dhaka Amazing,Community,1,Bangladesh
64,9481,Dhaka Buriganga,Community,4,Bangladesh
64,54199,Dhaka Commerce College,University,10,Bangladesh
64,215804,Dhaka Community Medical College,University,8,Bangladesh
64,9475,Dhaka Cosmopolitan,Community,4,Bangladesh
64,8824055,Dhaka Dynamic,Community,10,Bangladesh
64,43251,Dhaka East West,Community,3,Bangladesh
64,59510,Dhaka Fort,Community,17,Bangladesh
64,91459,Dhaka Green City,Community,3,Bangladesh
64,222260,Dhaka Harmony,Community,1,Bangladesh
64,8824449,Dhaka Hatirjheel,Community,1,Bangladesh
64,91834,Dhaka Heritage,Community,4,Bangladesh
64,9471,Dhaka Mahanagari,Community,2,Bangladesh
64,91640,Dhaka Mega City,Community,5,Bangladesh
64,8824462,Dhaka Mega City North,Community,7,Bangladesh
64,9467,Dhaka Midtown,Community,3,Bangladesh
64,42685,Dhaka New City,Community,8,Bangladesh
64,8826804,Dhaka NextGen,Community,20,Bangladesh
64,9465,Dhaka North,Community,11,Bangladesh
64,213210,Dhaka North South,Community,4,Bangladesh
64,8824458,Dhaka Old City,Community,2,Bangladesh
64,91460,Dhaka Paradise,University,4,Bangladesh
64,212903,Dhaka Paragon,Community,8,Bangladesh
64,213126,Dhaka Paramount,Community,2,Bangladesh
64,91465,Dhaka Pioneer,Community,5,Bangladesh
64,68184,Dhaka Pioneer Fort,Community,3,Bangladesh
64,91827,Dhaka Prime View,University,3,Bangladesh
64,8824197,Dhaka Radiant,Community,4,Bangladesh
64,8824358,Dhaka Rising Stars,Community,3,Bangladesh
64,43013,Dhaka Rose Vale,Community,2,Bangladesh
64,8824459,Dhaka Synergy,Community,1,Bangladesh
64,216789,Dhaka Tilottoma Bright,University,2,Bangladesh
64,9453,Dhaka Udayan,Community,7,Bangladesh
64,9451,Dhaka University,University,12,Bangladesh
64,9447,Dhanmondi,Community,2,Bangladesh
64,9445,Dhanmondi Lake View,Community,4,Bangladesh
64,42571,Dilkusha,Community,5,Bangladesh
64,72473,East West University,University,13,Bangladesh
64,42684,Eskaton North,Community,9,Bangladesh
64,56775,Gazipur Banarupa,Community,7,Bangladesh
64,216545,Gazipur Central,Community,13,Bangladesh
64,214428,Greater Jessore,Community,2,Bangladesh
64,213805,Green Bangla,Community,3,Bangladesh
64,9427,Gulshan,Community,13,Bangladesh
64,8824879,Gulshan Tigers,Community,4,Bangladesh
64,214255,Hatirjheel,Community,3,Bangladesh
64,84604,Hstu,University,2,Bangladesh
64,42692,Isamoti Pabna,Community,3,Bangladesh
64,218254,Jahangirnagar University,University,8,Bangladesh
64,8823489,Jamalpur,Community,10,Bangladesh
64,8823822,Jashore East,Community,2,Bangladesh
64,8823303,Jatiya Kabi Kazi Nazrul Islam University,University,3,Bangladesh
64,9415,Jessore,Community,4,Bangladesh
64,72451,Jessore Central,Community,4,Bangladesh
64,68745,Jessore Midcity,Community,8,Bangladesh
64,9413,Jessore Progoti,Community,4,Bangladesh
64,216040,Jessore University of Science & Technology,University,2,Bangladesh
64,8825241,Kaliakair Synergy,Community,8,Bangladesh
64,9407,Khulna,Community,5,Bangladesh
64,42512,Khulna City,Community,3,Bangladesh
64,217870,Khulna Fort,Community,1,Bangladesh
64,213804,Khulna Medical College,University,2,Bangladesh
64,9403,Khulna North,Community,2,Bangladesh
64,91793,Khulna Royals,University,5,Bangladesh
64,45984,Khulna University,University,7,Bangladesh
64,218684,Kuakata Beach,Community,5,Bangladesh
64,213803,KUET,University,3,Bangladesh
64,8824540,Kushtia City,Community,2,Bangladesh
64,9393,Lalmonirhat,Community,4,Bangladesh
64,218748,Leading Dhaka,Community,5,Bangladesh
64,9391,Mahanagar North West,Community,7,Bangladesh
64,215867,Mangrove,Community,3,Bangladesh
64,75116,Mawlana Bhashani Tangil,University,35,Bangladesh
64,9383,Metropolitan Khulna,Community,6,Bangladesh
64,57877,Metropolitan Rajshahi,Community,3,Bangladesh
64,9379,Midtown Sunflower,Community,3,Bangladesh
64,8823320,Mirpur,Community,1,Bangladesh
64,216445,Mirpur Dhaka,Community,26,Bangladesh
64,8824448,MM City College Khulna,University,5,Bangladesh
64,92234,Mukto Swadesh,Community,1,Bangladesh
64,72633,Mymensingh Town,Community,2,Bangladesh
64,8828625,Narayanganj,Community,3,Bangladesh
64,8824995,Narayanganj Cosmopolitan,Community,5,Bangladesh
64,8823441,Narayanganj Fort,Community,5,Bangladesh
64,79288,Narayanganj Midcity,Community,4,Bangladesh
64,9297,Narayanganj Midtown,Community,6,Bangladesh
64,8824096,Narayanganj New City,Community,5,Bangladesh
64,8823183,Narayanganj Royal,Community,3,Bangladesh
64,213226,Narayanganj Shitalakshya,Community,9,Bangladesh
64,90773,Narayanganj Uptown,Community,2,Bangladesh
64,91009,Nilphamari,Community,3,Bangladesh
64,9309,Noapara,Community,8,Bangladesh
64,82930,Northern University Khulna,University,5,Bangladesh
64,213232,North Western University,University,2,Bangladesh
64,8823528,Notre Dame College,University,18,Bangladesh
64,9357,Pabna,University,4,Bangladesh
64,91750,Pabna Medical College,University,1,Bangladesh
64,91751,Pabna New City,University,1,Bangladesh
64,82060,Pundrobordhon,Community,4,Bangladesh
64,76979,Purbasha Plus,Community,8,Bangladesh
64,91743,Rajdhani Dhaka,Community,6,Bangladesh
64,59448,Rajdhani Sonargaon,Community,6,Bangladesh
64,9355,Rajshahi,Community,4,Bangladesh
64,89562,Rajshahi City,Community,5,Bangladesh
64,215902,Rajshahi Government College,University,6,Bangladesh
64,9351,Rajshahi University,University,3,Bangladesh
64,9349,Ramna,Community,9,Bangladesh
64,91742,Rangpur Central,Community,8,Bangladesh
64,73318,Reshom Nagar,Community,2,Bangladesh
64,91102,Rupkatha Pabna,Community,4,Bangladesh
64,72634,Rupsha,Community,3,Bangladesh
64,90770,Saidpur,Community,3,Bangladesh
64,213539,Shataish Gazipura,Community,8,Bangladesh
64,91839,She-E Bangla Agricultural University,University,3,Bangladesh
64,9337,Shyamoli Dhaka,Community,6,Bangladesh
64,8823297,Sonargaon North,Community,3,Bangladesh
64,9331,Sundarban,Community,3,Bangladesh
64,91398,Tilottoma Spondon,Community,3,Bangladesh
64,217792,University of Asia Pacific (UAP),University,3,Bangladesh
64,9311,Uttara,Community,20,Bangladesh
64,214425,Uttara Lake View,Community,4,Bangladesh
64,45972,Varendra,Community,4,Bangladesh
64,90766,Voyrob Khulna,Community,3,Bangladesh
64,9317,Wari,Community,5,Bangladesh
65,213538,Aaparupa Chittagong,Community,6,Bangladesh
65,217154,Aaparupa Meghna,Community,3,Bangladesh
65,217957,Adarsha City,Community,3,Bangladesh
65,217967,Adarsha Cumilla,Community,3,Bangladesh
65,9523,Agrabad,Community,10,Bangladesh
65,8824387,Anchor City Chittagong,Community,1,Bangladesh
65,8826097,Army Medical College Chittagong,University,6,Bangladesh
65,83217,Beani Bazar,Community,8,Bangladesh
65,8826103,BGC Trust Medical College,University,4,Bangladesh
65,217909,Bir Chattola,Community,2,Bangladesh
65,217997,Brahmanbaria City,Community,4,Bangladesh
65,217009,Britania University,University,11,Bangladesh
65,9507,Chandpur,Community,13,Bangladesh
65,9505,Chandpur Central,Community,10,Bangladesh
65,8823709,Chandpur City,Community,6,Bangladesh
65,8823825,Chandpur Hilsha City,Community,11,Bangladesh
65,42293,Chandpur Rupashi,Community,10,Bangladesh
65,9501,Chittagong,Community,22,Bangladesh
65,8823710,Chittagong Alliance,Community,7,Bangladesh
65,217015,Chittagong Aristocrat,Community,9,Bangladesh
65,9499,Chittagong Central,Community,8,Bangladesh
65,91923,Chittagong Central Town,Community,3,Bangladesh
65,90848,Chittagong City,Community,8,Bangladesh
65,82932,Chittagong Cosmopolitan,Community,6,Bangladesh
65,8823684,Chittagong Crown,Community,5,Bangladesh
65,9497,Chittagong Down Town,Community,9,Bangladesh
65,214419,Chittagong East,Community,4,Bangladesh
65,8823280,Chittagong Glory,Community,8,Bangladesh
65,82934,Chittagong Green City,Community,3,Bangladesh
65,216698,Chittagong Heritage,Community,6,Bangladesh
65,8826088,Chittagong International Dental College,University,4,Bangladesh
65,8826108,Chittagong International Medical College,University,4,Bangladesh
65,8823327,Chittagong Karnaphuli,Community,1,Bangladesh
65,81017,Chittagong Lake City,Community,9,Bangladesh
65,8826091,Chittagong Maa-O-Shishu Medical College,University,3,Bangladesh
65,217684,Chittagong Marine City,Community,8,Bangladesh
65,8826099,Chittagong Medical College,University,4,Bangladesh
65,9307,Chittagong Midtown,Community,8,Bangladesh
65,9495,Chittagong Port City,Community,5,Bangladesh
65,217937,Chittagong Rainbow,Community,5,Bangladesh
65,214896,Chittagong River Shine,Community,9,Bangladesh
65,83134,Chittagong Rose Garden,Community,10,Bangladesh
65,70121,Chittagong Sagorika,Community,14,Bangladesh
65,64137,Chittagong South,Community,12,Bangladesh
65,214608,Chittagong Sugandha,Community,1,Bangladesh
65,216567,Chittagong Veterinary and Animal Sciences University,University,7,Bangladesh
65,216381,Chittagong Waterfall,Community,5,Bangladesh
65,9491,Comilla,Community,4,Bangladesh
65,215073,Comilla Brahmanpara Central,Community,4,Bangladesh
65,217151,Comilla Elites,Community,4,Bangladesh
65,59512,Comilla Lalmai,Community,17,Bangladesh
65,215933,Comilla Mahanagar,Community,6,Bangladesh
65,84038,Comilla South,Community,6,Bangladesh
65,217665,Comilla Sunrise,Community,5,Bangladesh
65,216548,Comilla University,University,13,Bangladesh
65,90737,Comilla Victoria,Community,4,Bangladesh
65,217515,Cumilla Elegance,Community,5,Bangladesh
65,8824553,Cumilla Liberty,Community,4,Bangladesh
65,8823821,Cumilla Meghna,Community,4,Bangladesh
65,217548,Cumilla Shine,Community,5,Bangladesh
65,217551,Cumilla Shining Star,Community,5,Bangladesh
65,8824554,Dakatia Hajigonj,University,14,Bangladesh
65,217377,Enlightened Narsingdi,Community,8,Bangladesh
65,8823725,Feni,Community,7,Bangladesh
65,214690,Feni Aparupa,Community,6,Bangladesh
65,212856,Feni Apurba,Community,8,Bangladesh
65,217996,Feni Belonia,Community,3,Bangladesh
65,49247,Feni Central,Community,7,Bangladesh
65,215520,Feni City,Community,5,Bangladesh
65,213970,Feni Govt. College,University,8,Bangladesh
65,8823281,Feni Muhuri,Community,3,Bangladesh
65,217949,Feni New Sun,Community,4,Bangladesh
65,218671,Feni Rising Sun,Community,4,Bangladesh
65,8823638,Feni Town,Community,3,Bangladesh
65,8823639,Feni University,University,5,Bangladesh
65,80742,Gomoti,Community,5,Bangladesh
65,217787,Grand Sylhet,Community,2,Bangladesh
65,216697,Green City Sylhet,Community,3,Bangladesh
65,55899,Habiganj,Community,10,Bangladesh
65,80738,Hajiganj,Community,6,Bangladesh
65,8826096,Institute of Applied Health and Science,University,6,Bangladesh
65,42709,Islamabad,Community,7,Bangladesh
65,9419,Jalalabad,Community,10,Bangladesh
65,82937,Leading University Sylhet,University,8,Bangladesh
65,52742,Madan Mohan University College,University,7,Bangladesh
65,8823656,Manchester Narsingdi,Community,1,Bangladesh
65,8826093,Marine City Medical College,University,7,Bangladesh
65,8823324,Matlab,Community,5,Bangladesh
65,8824356,Medical Community,Community,9,Bangladesh
65,68610,Meghna Narsingdi,Community,5,Bangladesh
65,90731,Meghna Narsingdi UFFG,Community,7,Bangladesh
65,9387,Metropolitan Chittagong,Community,12,Bangladesh
65,91003,Midtown Comilla,Community,3,Bangladesh
65,8823625,Moheshkhali,Community,2,Bangladesh
65,9371,Moulvibazar Central,Community,5,Bangladesh
65,46799,Moulvibazar Govt. College,University,6,Bangladesh
65,8823663,Moulvibazar Sunflower,Community,6,Bangladesh
65,8823676,Moulvibazar Sunlight,Community,6,Bangladesh
65,216940,Moulvibazar Sunrise,Community,6,Bangladesh
65,46720,Narsingdi,Community,2,Bangladesh
65,217222,Narsingdi City,Community,2,Bangladesh
65,217727,Narsingdi City Central,Community,2,Bangladesh
65,8823655,Narsingdi Elite,Community,1,Bangladesh
65,217961,Narsingdi Government College,Community,3,Bangladesh
65,8823666,Narsingdi Riverview,Community,1,Bangladesh
65,8823664,Narsingdi Royal,Community,1,Bangladesh
65,217719,Narsingdi Sunbeam,Community,2,Bangladesh
65,8823665,Noakhali Science and Technology University,University,3,Bangladesh
65,43047,Rangamati,Community,4,Bangladesh
65,8823640,Shamshernagar,Community,4,Bangladesh
65,8826090,Southern Medical College,University,5,Bangladesh
65,213541,Sunamganj Elites,Community,2,Bangladesh
65,9329,Sylhet Central SOMC,Community,1,Bangladesh
65,214166,Sylhet City,Community,3,Bangladesh
65,217833,Sylhet Cosmopolitan,Community,1,Bangladesh
65,217971,Sylhet East,Community,3,Bangladesh
65,215866,Sylhet Elegance,Community,11,Bangladesh
65,217958,Sylhet Garden City,Community,5,Bangladesh
65,216765,Sylhet Green,Community,3,Bangladesh
65,213964,Sylhet Green Buds,Community,26,Bangladesh
65,88928,Sylhet Green City,Community,14,Bangladesh
65,217801,Sylhet Green Town,Community,5,Bangladesh
65,44912,Sylhet Hillcity,Community,6,Bangladesh
65,217820,Sylhet Holy City,Community,4,Bangladesh
65,83371,Sylhet International University,University,8,Bangladesh
65,216768,Sylhet Kushiara,Community,3,Bangladesh
65,44219,Sylhet M.C. College,University,11,Bangladesh
65,9327,Sylhet Midtown,Community,7,Bangladesh
65,216769,Sylhet North,Community,3,Bangladesh
